company_size,customer_segment,contract_type,plan_type,region,age_group,onboarding_completion_pct,arpu,mrr,mrr_segment,expansion_mrr,payment_failures_6m,tenure_months,tenure_bucket,dau_wau_ratio,feature_adoption_rate,login_frequency_monthly,api_calls_monthly,integrations_active,seats_utilized_pct,usage_trend_3m,usage_trend_6m,support_tickets_6m,avg_ticket_resolution_days,nps_score,csat_score,executive_sponsor,decision_maker_change,qbr_meetings_yearly,health_score,customer_growth_pct,competitor_evaluation,contract_renewal_days,churned
2,Mid-Market,0,Enterprise,LATAM,18-25,68.8,1437.01,45724.32,Mid Value,1037.48,2,33,> 2 years,0.265,0.667,43.8,35381.0,4,67.9,-0.069,-0.084,5,0.7,10,3.5,0,2,2,90.8,67.59,0,305,0
3,Enterprise,1,Enterprise,North America,36-50,65.6,933.02,69637.01,Mid Value,908.1,0,3,< 6 months,0.635,0.155,9.0,9349.0,5,62.2,0.813,0.679,3,3.9,7,4.4,1,1,3,72.7,40.35,0,62,0
2,Mid-Market,1,Standard,North America,26-35,50.0,2065.64,139539.55,High Value,434.18,0,41,> 2 years,0.127,0.369,14.7,61875.0,2,37.6,1.014,1.334,1,3.6,5,3.5,1,0,4,89.4,32.3,0,359,0
2,Mid-Market,1,Premium,APAC,26-35,63.5,1708.77,134171.06,High Value,665.27,0,3,< 6 months,0.352,0.513,16.2,3677.0,9,73.2,0.265,0.309,0,2.5,10,3.5,0,0,2,63.7,60.42,0,114,0
2,Mid-Market,2,Standard,North America,26-35,10.0,345.86,21264.67,High Value,98.4,3,7,6-12 months,0.545,0.325,10.4,3536.0,3,26.4,-0.723,-0.93,16,6.4,3,1.8,0,1,1,36.1,-23.7,0,50,1
1,SMB,0,Standard,Europe,50+,47.3,143.08,1721.77,Low Value,2.6,2,11,6-12 months,0.01,0.572,11.9,3582.0,1,30.4,-0.348,-0.357,8,12.5,0,4.4,0,3,1,38.3,7.3,1,24,1
1,SMB,0,Basic,Europe,50+,42.4,265.41,8753.34,Mid Value,166.69,3,15,1-2 years,0.113,0.196,5.8,1681.0,1,44.6,-0.518,-0.605,5,4.0,4,1.9,1,1,0,20.7,-15.22,1,-12,1
2,Mid-Market,1,Enterprise,North America,50+,58.8,947.83,49959.47,Mid Value,806.17,2,33,> 2 years,0.338,0.524,40.3,88762.0,8,72.9,-0.007,0.003,3,4.8,10,4.1,0,0,4,75.5,-5.5,0,153,0
3,Enterprise,1,Standard,Europe,50+,64.7,1825.22,197475.81,High Value,1296.05,0,5,< 6 months,0.538,0.876,42.1,39759.0,5,61.1,0.769,0.61,6,0.7,7,3.5,1,0,4,74.3,12.46,0,53,0
2,Mid-Market,0,Enterprise,LATAM,18-25,79.0,437.39,33742.15,Low Value,972.71,0,31,> 2 years,0.707,0.714,16.8,47050.0,9,61.1,0.124,0.128,2,2.4,9,3.7,1,0,2,98.8,22.89,0,253,0
2,Mid-Market,0,Standard,Europe,26-35,56.1,1089.3,18606.17,Low Value,1009.63,1,15,1-2 years,0.953,0.653,32.5,16346.0,5,86.1,-0.215,-0.213,0,4.6,6,3.6,1,1,1,70.9,55.81,0,231,0
2,Mid-Market,2,Basic,APAC,36-50,27.4,184.01,3087.39,Low Value,135.47,1,20,1-2 years,0.163,0.608,3.0,2213.0,2,13.0,-0.732,-0.693,11,13.5,7,1.9,0,1,1,26.9,-22.18,0,20,1
3,Enterprise,0,Basic,Europe,50+,29.9,302.29,16091.74,High Value,30.61,2,16,1-2 years,0.078,0.087,8.5,2235.0,3,13.1,-0.792,-0.543,18,9.1,6,2.0,0,2,1,40.5,-7.87,0,54,1
1,SMB,1,Premium,APAC,26-35,41.3,290.75,5563.94,Low Value,178.59,2,15,1-2 years,0.522,0.37,8.0,4174.0,3,35.6,-0.202,-0.142,15,10.7,3,1.7,0,1,0,14.0,-15.89,0,80,1
2,Mid-Market,0,Standard,LATAM,36-50,74.0,980.33,57832.92,Mid Value,821.39,0,35,> 2 years,0.636,0.439,27.1,27658.0,7,85.5,0.405,0.335,5,1.6,9,3.6,1,1,4,66.3,2.65,0,119,0
2,Mid-Market,2,Premium,Europe,18-25,82.3,288.75,19174.34,Low Value,592.27,0,6,6-12 months,0.409,0.458,17.6,43640.0,4,81.7,0.361,0.521,2,0.2,6,3.1,1,1,2,79.2,19.03,0,47,0
3,Enterprise,2,Premium,LATAM,36-50,88.8,20.0,583.36,Low Value,1383.03,0,28,> 2 years,0.905,0.809,13.0,17632.0,10,68.6,-0.106,-0.152,7,0.5,8,4.0,1,1,2,50.5,34.79,0,170,0
3,Enterprise,1,Premium,North America,18-25,81.5,402.96,41019.8,Mid Value,1016.91,1,28,> 2 years,0.398,0.412,47.2,41726.0,1,71.6,0.168,0.17,5,3.7,6,4.7,1,1,2,92.6,33.46,0,231,0
1,SMB,1,Premium,North America,26-35,61.4,667.36,26355.98,Low Value,1319.24,0,9,6-12 months,0.515,0.444,57.0,4989.0,1,79.8,0.231,0.226,6,1.7,5,4.0,0,0,1,87.6,61.05,0,283,0
1,SMB,2,Standard,North America,36-50,77.7,1692.57,59468.94,Mid Value,264.15,2,44,> 2 years,0.71,0.805,41.7,68938.0,6,57.3,0.095,0.084,0,0.6,8,3.8,1,0,4,63.9,54.47,0,279,0
1,SMB,0,Standard,APAC,26-35,22.9,227.41,2879.8,Low Value,138.05,4,22,1-2 years,0.304,0.394,4.9,3628.0,3,29.8,0.122,0.074,14,9.1,3,2.8,0,2,0,60.0,1.38,1,54,1
2,Mid-Market,1,Standard,Europe,36-50,40.7,1207.13,85653.33,High Value,658.9,0,49,> 2 years,0.643,0.885,34.3,11496.0,4,53.2,0.837,1.073,5,0.4,9,2.9,1,0,1,53.1,32.11,0,113,0
3,Enterprise,1,Basic,North America,26-35,60.1,1793.06,197389.98,High Value,656.79,0,42,> 2 years,0.359,0.585,33.1,49707.0,3,97.1,0.814,0.649,5,3.6,9,4.2,1,0,1,100.0,70.16,0,193,0
1,SMB,0,Standard,LATAM,36-50,25.0,398.49,13129.97,Mid Value,47.23,4,14,1-2 years,0.4,0.328,15.7,2257.0,1,37.7,0.039,-0.02,15,13.2,2,1.4,0,0,0,44.9,-4.59,0,12,1
2,Mid-Market,1,Standard,LATAM,18-25,77.3,201.3,12127.45,Low Value,543.13,0,53,> 2 years,0.562,0.655,46.0,51814.0,11,91.8,0.623,0.634,1,3.4,8,4.2,0,2,3,55.2,48.1,0,256,0
3,Enterprise,2,Standard,APAC,36-50,10.0,323.67,11974.35,Mid Value,124.65,2,22,1-2 years,0.16,0.141,12.2,3005.0,0,27.8,0.043,0.106,17,7.3,1,2.2,1,1,1,43.7,10.57,1,56,1
2,Mid-Market,1,Premium,APAC,36-50,91.7,1345.97,26118.19,Low Value,459.43,0,42,> 2 years,0.48,0.756,51.8,77063.0,11,34.0,0.235,0.223,0,2.9,6,4.8,1,0,2,93.3,68.03,0,334,0
3,Enterprise,2,Basic,Europe,36-50,11.5,477.67,55764.72,High Value,151.2,1,20,1-2 years,0.129,0.289,5.9,3148.0,0,18.6,0.025,0.129,15,8.2,5,3.7,0,1,0,39.5,-6.89,1,-19,1
2,Mid-Market,0,Standard,North America,26-35,73.3,2002.98,35001.94,Mid Value,1277.51,0,34,> 2 years,0.597,0.784,36.0,5393.0,4,78.4,1.02,0.833,0,0.6,7,3.0,1,1,3,78.7,82.21,0,309,0
1,SMB,2,Standard,APAC,50+,21.0,565.66,17715.76,High Value,170.88,1,14,1-2 years,0.128,0.737,11.5,4156.0,1,5.0,-0.722,-0.816,19,0.4,1,2.1,0,1,0,15.9,-5.1,1,-9,1
1,SMB,1,Enterprise,Europe,36-50,66.0,1902.73,45935.2,Mid Value,585.95,2,46,> 2 years,0.558,0.558,30.8,91484.0,2,66.5,0.283,0.349,7,3.8,6,4.3,1,0,2,86.4,22.35,0,241,0
2,Mid-Market,0,Basic,North America,50+,21.3,90.94,6427.53,Mid Value,52.6,5,23,1-2 years,0.12,0.332,5.1,3285.0,3,30.2,-0.179,-0.226,4,7.1,6,2.1,0,1,2,16.2,4.23,0,73,1
3,Enterprise,1,Standard,Europe,18-25,92.8,1196.84,40861.23,Mid Value,1409.53,0,35,> 2 years,0.515,0.53,11.9,57386.0,4,71.6,-0.253,-0.287,6,0.3,5,4.3,0,0,2,81.9,47.06,0,349,0
1,SMB,1,Standard,North America,50+,44.5,1188.53,18543.07,Low Value,370.86,1,7,6-12 months,0.621,0.611,29.9,8162.0,2,51.3,0.469,0.34,0,2.1,8,2.8,1,0,3,51.2,35.02,1,58,0
3,Enterprise,0,Premium,Europe,18-25,58.1,725.36,82736.49,High Value,654.15,1,32,> 2 years,0.705,0.279,18.3,28676.0,3,61.7,0.689,0.612,0,3.4,10,4.4,1,0,3,74.8,44.54,0,107,0
2,Mid-Market,1,Enterprise,LATAM,26-35,68.9,2462.7,55367.82,Mid Value,399.0,0,42,> 2 years,0.51,0.611,25.3,83925.0,2,87.6,-0.0,-0.052,7,2.2,8,2.9,1,0,1,84.0,8.86,0,297,0
3,Enterprise,0,Basic,North America,26-35,66.7,268.09,24466.92,Low Value,101.44,0,16,1-2 years,0.672,0.801,24.0,41752.0,3,53.7,0.169,0.179,1,2.1,6,4.1,1,0,4,99.3,70.11,0,258,0
2,Mid-Market,1,Standard,North America,18-25,53.0,655.13,14879.79,Low Value,257.57,0,55,> 2 years,0.463,0.386,32.2,92481.0,8,30.0,0.5,0.586,1,0.5,5,4.0,1,0,2,61.7,18.02,0,30,0
2,Mid-Market,1,Standard,North America,36-50,78.4,1560.64,57968.39,Mid Value,1012.68,1,43,> 2 years,0.71,0.601,22.2,54900.0,3,63.3,0.831,0.609,5,0.8,5,3.8,1,0,2,97.4,70.61,0,60,0
3,Enterprise,1,Standard,North America,36-50,80.6,2005.88,108458.16,High Value,340.96,0,64,> 2 years,0.638,0.554,25.7,47853.0,10,95.9,-0.162,-0.206,5,3.6,5,3.0,1,1,3,63.4,46.7,0,202,0
